,stim_id,condition,freq_category,word,subtlex_log10freq,correct_response,ResponseTime,Accuracy,id
72,73,rw,HF,gemaakt,4.0844,Y,444.6710400363614,0,40292.0
197,198,nw,NW,snarpen,0.0,N,985.713927352026,1,40292.0
136,137,nw,NW,smaan,0.0,N,1024.7216826679162,0,40292.0
153,154,nw,NW,gefaapt,0.0,N,878.3337700347009,1,40292.0
140,141,nw,NW,kimensie,0.0,N,891.9554352622034,1,40292.0
40,41,rw,LF,zolders,0.7782,Y,700.3974293568631,1,40292.0
129,130,nw,NW,bralat,0.0,N,948.749090053149,1,40292.0
183,184,nw,NW,rieve,0.0,N,924.664464654566,1,40292.0
98,99,rw,HF,bij,5.0328,Y,505.58538129209387,0,40292.0
150,151,nw,NW,plirken,0.0,N,967.4260801781912,1,40292.0
67,68,rw,HF,soort,3.9872,Y,623.3786069252736,1,40292.0
195,196,nw,NW,rokan,0.0,N,1078.8680246746785,0,40292.0
107,108,nw,NW,geslonden,0.0,N,1071.8916949524814,1,40292.0
49,50,rw,LF,gisten,0.9542,Y,660.2844471953837,0,40292.0
151,152,nw,NW,grede,0.0,N,875.0872301420595,1,40292.0
62,63,rw,HF,begin,3.9267,Y,508.7098283013927,1,40292.0
11,12,rw,LF,barse,0.4771,Y,568.3567691448726,1,40292.0
156,157,nw,NW,udel,0.0,N,870.7135136321069,0,40292.0
131,132,nw,NW,fradingo,0.0,N,1111.5931733375369,0,40292.0
81,82,rw,HF,morgen,4.2678,Y,483.940978390839,1,40292.0
111,112,nw,NW,breent,0.0,N,859.0821585346821,1,40292.0
175,176,nw,NW,kwarp,0.0,N,990.9383293619273,1,40292.0
86,87,rw,HF,ging,4.3434,Y,585.7691295214637,1,40292.0
186,187,nw,NW,gevupt,0.0,N,1122.9292453778291,1,40292.0
59,60,rw,HF,vallen,3.8985,Y,565.4663134695082,1,40292.0
130,131,nw,NW,rogenten,0.0,N,945.8583187113023,1,40292.0
73,74,rw,HF,help,4.0879,Y,563.1243956928238,1,40292.0
158,159,nw,NW,rastel,0.0,N,1177.6323097444304,1,40292.0
16,17,rw,LF,clusters,0.6021,Y,482.16203372007493,1,40292.0
118,119,nw,NW,doppel,0.0,N,1180.6530022952143,1,40292.0
38,39,rw,LF,sjalot,0.7782,Y,635.8501236130278,0,40292.0
60,61,rw,HF,los,3.9075,Y,460.12262638869936,1,40292.0
113,114,nw,NW,gesmalpt,0.0,N,993.4713813945797,1,40292.0
61,62,rw,HF,gaf,3.923,Y,567.1121198975279,0,40292.0
20,21,rw,LF,schuiten,0.6021,Y,652.394943796497,0,40292.0
194,195,nw,NW,pirrel,0.0,N,952.1624619997888,1,40292.0
27,28,rw,LF,klavier,0.699,Y,644.5835172387063,1,40292.0
